site_code,SppRich,Simp,Shan,EvenJ,E10,Abund,S_PIE,Turnover,Turnover_app,Turnover_disapp,rare.sppRich,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance
LTR387_2014,25,0.6939598,1.866478618,0.579854185,0.074659145,198,3.30559322,0.674418605,0.255813953,0.418604651,11.90971892,12,41,1,103,2,33,5,16,15,75,4,4
LTR387_2015,27,0.887688615,2.62854458,0.797534795,0.097353503,108,9.613976705,0.631578947,0.342105263,0.289473684,17.54594166,9,23,2,24,1,18,5,15,18,65,2,4
LTR387_2016,22,0.877914952,2.50098072,0.809105911,0.113680942,81,9,0.558823529,0.205882353,0.352941176,16.80392826,6,22,2,18,2,18,3,7,17,56,0,0
LTR387_2017,9,0.703993056,1.567557137,0.713425998,0.174173015,48,3.558359621,0.851851852,0.185185185,0.666666667,9,3,17,1,23,0,0,1,1,7,24,0,0
LTR387_2020,36,0.911982508,2.807354293,0.783407132,0.077982064,708,11.53036027,0.902439024,0.780487805,0.12195122,16.91584609,8,191,1,81,6,127,11,252,23,347,1,28
LTR40_2010,8,0.61882716,1.378861737,0.66309233,0.172357717,36,2.751091703,NA,NA,NA,8,0,0,1,1,0,0,3,28,0,0,4,7
LTR40_2012,22,0.877746051,2.476858125,0.801301879,0.11258446,1230,8.227760603,0.888888889,0.703703704,0.185185185,12.50962878,4,257,2,358,1,112,7,384,12,464,1,24
LTR40_2013,23,0.921738719,2.772362285,0.8841867,0.120537491,848,12.95789284,0.815789474,0.421052632,0.394736842,14.68041288,3,202,1,17,4,190,4,123,14,596,4,112
LTR40_2014,24,0.93272232,2.876450972,0.905098254,0.119852124,395,15.40586023,0.72972973,0.378378378,0.351351351,15.74946891,2,49,2,23,2,40,11,216,9,124,2,32
LTR40_2015,31,0.941562982,3.023304664,0.880406503,0.097525957,576,17.60578354,0.58974359,0.384615385,0.205128205,16.90309952,6,57,3,73,1,42,11,299,14,135,3,69
LTR40_2016,18,0.908436214,2.611333665,0.903459445,0.145074093,216,11.44970414,0.804878049,0.243902439,0.56097561,13.66719143,5,97,1,13,2,19,2,38,13,154,2,11
LTR40_2017,22,0.927035743,2.774851774,0.897707429,0.126129626,122,15.31327801,0.709677419,0.419354839,0.290322581,15.16581406,5,31,4,21,1,13,3,21,13,65,2,15
LTR40_2020,15,0.884607595,2.366345544,0.873818935,0.15775637,337,8.868421053,0.806451613,0.290322581,0.516129032,11.27119051,1,72,3,80,2,36,3,105,7,140,2,12
LTR401_2010,16,0.90253383,2.478823142,0.894046464,0.154926446,249,10.65792199,NA,NA,NA,16,6,75,1,8,3,30,3,99,11,114,1,28
LTR401_2012,19,0.938995109,2.848424445,0.96739123,0.149917076,531,16.88242352,0.75,0.428571429,0.321428571,18.46884821,7,156,1,26,4,126,4,107,13,360,1,38
LTR401_2013,17,0.903742375,2.523633509,0.890731901,0.14844903,377,10.65484065,0.8,0.366666667,0.433333333,16.76765792,3,57,2,76,4,61,3,117,9,130,3,54
LTR401_2014,22,0.929088812,2.828288575,0.91499506,0.128558572,510,14.47474072,0.555555556,0.37037037,0.185185185,21.65153914,6,121,3,67,2,59,4,167,11,217,4,59
LTR401_2015,26,0.9292813,2.901210306,0.890461738,0.111585012,573,14.47301952,0.545454545,0.333333333,0.212121212,25.40638866,6,195,2,125,2,48,6,117,16,306,2,25
LTR401_2016,26,0.938442734,2.981983937,0.915253401,0.11469169,470,16.79082876,0.790697674,0.395348837,0.395348837,24.7938042,13,236,0,0,3,98,4,67,19,386,3,17
LTR401_2017,23,0.942057741,2.953243301,0.9418749,0.128401883,307,18.22700815,0.675675676,0.297297297,0.378378378,22.98840291,8,130,1,5,2,27,5,84,13,189,4,29
