site_code,sample_id,site_id,day,month,year,Date,day_of_year,country,season,Latitude,Longitude,Heavily_modified,river_type,EQR,EQC,spp_richness,Simp,shannonsH,EvenJ,E10,abundance,S_PIE,turnover,turnover_app,turnover_disapp,spp_rich_rare,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance,FRic,FEve,FDis,FRed,F_turnover
LTR105_2013,LTR105_2013_16.9.2013,LTR105,16,9,2013,16.9.2013,259,Lithuania,autumn,55.2845,26.7849,No,2,0.62,Good,27,0.924503017,2.876594924,0.872796513,0.106540553,1455,13.35806382,0.717391304,0.304347826,0.413043478,24.92661732,5,679,1,27,4,178,7,294,16,994,3,140,0.124647086,0.57850442,0.229298102,0.36802275,0.016129032
LTR105_2014,LTR105_2014_23.9.2014,LTR105,23,9,2014,23.9.2014,266,Lithuania,autumn,55.2845,26.7849,No,2,0.68,Good,29,0.916817631,2.846041873,0.845201021,0.098139375,554,12.26625561,0.697674419,0.372093023,0.325581395,25.50768585,7,184,1,10,1,18,7,107,19,403,2,34,0.143195699,0.639496633,0.251817544,0.340707421,0.032258065
LTR105_2015,LTR105_2015_21.9.2015,LTR105,21,9,2015,21.9.2015,264,Lithuania,autumn,55.2845,26.7849,No,2,0.7,Good,36,0.937607583,3.147642179,0.878366274,0.087434505,463,16.56644981,0.796296296,0.462962963,0.333333333,32.82940384,11,188,0,0,2,26,9,115,25,310,2,38,0.233902465,0.668101111,0.215126489,0.374270098,0.016129032
LTR105_2016,LTR105_2016_26.9.2016,LTR105,26,9,2016,26.9.2016,270,Lithuania,autumn,55.2845,26.7849,No,2,0.67,Good,37,0.955221172,3.307518347,0.915977163,0.089392388,575,23.19395643,0.648148148,0.333333333,0.314814815,33.15995914,12,264,1,13,0,0,7,125,24,379,5,58,0.137822455,0.596096001,0.232051082,0.366464826,0.016129032
LTR105_2017,LTR105_2017_25.10.2017,LTR105,25,10,2017,25.10.2017,298,Lithuania,autumn,55.2845,26.7849,No,2,0.59,Moderate,27,0.915922068,2.749931884,0.83436529,0.101849329,720,12.07670415,0.814814815,0.314814815,0.5,22.47770308,7,298,1,56,4,140,3,74,19,550,3,38,0.10643859,0.500362016,0.220029507,0.336957917,0
LTR105_2020,LTR105_2020_22.9.2020,LTR105,22,9,2020,22.9.2020,266,Lithuania,autumn,55.2845,26.7849,No,2,0.58,Moderate,21,0.640984237,1.741566878,0.57203286,0.082931756,255,2.805110437,0.769230769,0.307692308,0.461538462,18.9922098,4,169,1,1,2,37,3,12,14,228,3,14,0.09460932,0.63980442,0.146890556,0.353268612,0.016129032
LTR11_2010,LTR11_2010_6.10.2010,LTR11,6,10,2010,6.10.2010,279,Lithuania,autumn,55.0701,22.578,Yes,4,0.42,Moderate,6,0.7575,1.553448608,0.866996176,0.258908101,40,4.482758621,NA,NA,NA,6,1,1,1,11,0,0,4,28,1,1,0,0,9.56E-15,0.539679914,0.260277006,0.399136196,NA
LTR11_2012,LTR11_2012_3.10.2012,LTR11,3,10,2012,3.10.2012,277,Lithuania,autumn,55.0701,22.578,Yes,4,0.42,Moderate,13,0.866303024,2.208113998,0.860880154,0.169854923,359,7.617472736,0.733333333,0.6,0.133333333,10.25411158,1,8,2,64,1,79,5,171,3,88,3,36,0.006328087,0.719073912,0.22988319,0.348093224,0.228070175
LTR11_2013,LTR11_2013_9.10.2013,LTR11,9,10,2013,9.10.2013,282,Lithuania,autumn,55.0701,22.578,Yes,4,0.41,Moderate,17,0.815729766,2.060931558,0.727418414,0.121231268,568,5.469515302,0.695652174,0.434782609,0.260869565,10.0745375,2,57,2,31,3,108,5,228,6,167,4,142,0.021220944,0.567032267,0.240390566,0.31676269,0.083333333
LTR11_2014,LTR11_2014_8.10.2014,LTR11,8,10,2014,8.10.2014,281,Lithuania,autumn,55.0701,22.578,Yes,4,0.44,Moderate,27,0.82388319,2.327214027,0.706107165,0.086193112,173,5.836798745,0.625,0.46875,0.15625,13.41436844,4,6,4,69,1,4,7,67,11,20,5,17,0.125205304,0.619269079,0.198549377,0.328634458,0.064516129
LTR11_2015,LTR11_2015_7.10.2015,LTR11,7,10,2015,7.10.2015,280,Lithuania,autumn,55.0701,22.578,Yes,4,0.398,Moderate,24,0.846963622,2.396337582,0.754026744,0.099847399,1071,6.568367838,0.756097561,0.341463415,0.414634146,12.89372726,1,1,1,25,2,36,10,827,8,77,5,142,0.096643004,0.440750474,0.23091,0.356303333,0.016129032
LTR11_2016,LTR11_2016_5.10.2016,LTR11,5,10,2016,5.10.2016,279,Lithuania,autumn,55.0701,22.578,Yes,4,0.39,Moderate,19,0.917439741,2.63942082,0.896408735,0.138916885,1201,12.22557769,0.612903226,0.225806452,0.387096774,13.6690247,2,232,2,85,2,84,7,596,5,317,5,203,0.029549611,0.462755581,0.193336428,0.37040227,0.016129032
LTR11_2017,LTR11_2017_4.10.2017,LTR11,4,10,2017,4.10.2017,277,Lithuania,autumn,55.0701,22.578,Yes,4,0.51,Good,20,0.916711111,2.704545406,0.902799436,0.13522727,300,12.46525848,0.655172414,0.344827586,0.310344828,14.9412956,5,48,2,15,3,42,6,135,10,99,2,51,0.035121148,0.633076403,0.224014277,0.332081521,0.016129032
LTR11_2020,LTR11_2020_7.10.2020,LTR11,7,10,2020,7.10.2020,281,Lithuania,autumn,55.0701,22.578,Yes,4,0.45,Moderate,18,0.862412414,2.292968613,0.793312697,0.127387145,193,7.513381995,0.774193548,0.35483871,0.419354839,11.40410133,3,6,2,23,1,27,5,88,7,45,4,37,0.015592149,0.537485208,0.224564355,0.331078051,0.049180328
LTR127_2010,LTR127_2010_13.10.2010,LTR127,13,10,2010,13.10.2010,286,Lithuania,autumn,55.2913,21.3772,No,4,0.38,Poor,5,0.693194444,1.384544462,0.860265843,0.276908892,120,3.32247557,NA,NA,NA,4.924449429,0,0,1,16,1,13,2,68,1,13,1,23,0,0.815383053,0.214842739,0.35379246,NA
LTR127_2011,LTR127_2011_14.9.2011,LTR127,14,9,2011,14.9.2011,257,Lithuania,autumn,55.2913,21.3772,No,4,0.32,Poor,11,0.499555983,1.10429587,0.460527147,0.100390534,387,2.00340647,0.857142857,0.642857143,0.214285714,5.036391535,0,0,0,0,2,33,3,67,4,35,4,285,0.007349568,0.518925304,0.208994761,0.282356846,0.101694915
LTR127_2012,LTR127_2012_12.9.2012,LTR127,12,9,2012,12.9.2012,256,Lithuania,autumn,55.2913,21.3772,No,4,0.33,Poor,7,0.751111111,1.569939938,0.806789532,0.224277134,30,4.484536082,0.941176471,0.352941176,0.588235294,7,0,0,1,6,1,10,5,14,1,10,0,0,0.0000505,0.715085023,0.227720162,0.351625177,0.169491525
LTR127_2013,LTR127_2013_30.9.2013,LTR127,30,9,2013,30.9.2013,273,Lithuania,autumn,55.2913,21.3772,No,4,0.43,Moderate,11,0.616739477,1.232069767,0.513813001,0.112006342,1120,2.612948824,0.8,0.533333333,0.266666667,4.898156098,0,0,4,462,2,51,2,591,4,54,1,13,0.005450661,0.347862323,0.173243531,0.349313953,0.206896552
LTR127_2014,LTR127_2014_15.10.2014,LTR127,15,10,2014,15.10.2014,288,Lithuania,autumn,55.2913,21.3772,No,4,0.33,Poor,14,0.713623563,1.690405189,0.640533713,0.120743228,623,3.505953243,0.863636364,0.5,0.363636364,7.427934097,0,0,1,14,3,47,6,229,4,65,3,315,0.00940809,0.447381174,0.254532228,0.302606547,0.147540984
LTR127_2015,LTR127_2015_12.10.2015,LTR127,12,10,2015,12.10.2015,285,Lithuania,autumn,55.2913,21.3772,No,4,0.31,Poor,9,0.727158138,1.522364582,0.69285798,0.16915162,239,3.70663365,0.722222222,0.222222222,0.5,5.547024722,0,0,2,58,2,72,2,2,3,74,2,105,0.000992896,0.219504158,0.22614934,0.389479849,0.112903226
LTR127_2016,LTR127_2016_12.9.2016,LTR127,12,9,2016,12.9.2016,256,Lithuania,autumn,55.2913,21.3772,No,4,0.41,Moderate,15,0.850890852,2.211574292,0.816666652,0.147438286,247,6.865762712,0.736842105,0.526315789,0.210526316,9.964449597,1,7,4,79,3,80,4,41,5,88,2,39,0.008357091,0.450240272,0.249062112,0.367193924,0.05
LTR127_2017,LTR127_2017_4.10.2017,LTR127,4,10,2017,4.10.2017,277,Lithuania,autumn,55.2913,21.3772,No,4,0.36,Poor,13,0.79836964,1.954134116,0.761860701,0.150318009,653,4.989873892,0.526315789,0.210526316,0.315789474,8.429674728,1,22,2,182,2,263,6,165,3,285,2,21,0.004078074,0.614415959,0.211620201,0.366584673,0.017241379
LTR127_2020,LTR127_2020_14.9.2020,LTR127,14,9,2020,14.9.2020,258,Lithuania,autumn,55.2913,21.3772,No,4,0.48,Moderate,24,0.722125618,1.522042601,0.478922851,0.063418442,6159,3.600267805,0.806451613,0.580645161,0.225806452,5.510807687,4,1113,5,2372,3,2533,4,33,12,3690,2,63,0.06482006,0.392421079,0.149100428,0.372312856,0.096774194
LTR1282_2010,LTR1282_2010_6.10.2010,LTR1282,6,10,2010,6.10.2010,279,Lithuania,autumn,55.6678,23.0358,No,3,0.76,Good,23,0.908411376,2.73437899,0.872072727,0.118886043,590,11.10539435,NA,NA,NA,21.81197477,15,233,1,19,2,52,3,92,18,353,1,126,0.038943367,0.757692491,0.222167554,0.31977198,NA
LTR1282_2012,LTR1282_2012_17.10.2012,LTR1282,17,10,2012,17.10.2012,291,Lithuania,autumn,55.6678,23.0358,No,3,0.94,Very Good,28,0.91036595,2.677960155,0.803660204,0.095641434,651,11.33356546,0.657894737,0.394736842,0.263157895,22.76317351,14,328,1,1,5,114,2,11,24,562,1,77,0.062707924,0.466310664,0.197788878,0.335453182,0.032786885
LTR1282_2013,LTR1282_2013_26.9.2013,LTR1282,26,9,2013,26.9.2013,269,Lithuania,autumn,55.6678,23.0358,No,3,0.95,Very Good,35,0.920614904,2.813814026,0.791431381,0.080394686,461,12.92260817,0.425,0.3,0.125,29.22305233,13,215,1,1,8,113,2,7,31,429,1,24,0.107567847,0.517830735,0.217366874,0.321059879,0.032258065
LTR1282_2014,LTR1282_2014_22.9.2014,LTR1282,22,9,2014,22.9.2014,265,Lithuania,autumn,55.6678,23.0358,No,3,0.83,Very good,26,0.944096061,3.037609243,0.932326347,0.116831125,695,18.33396685,0.644444444,0.222222222,0.422222222,25.50525882,10,294,0,0,3,124,5,116,19,529,2,50,0.098538222,0.66372983,0.243144046,0.345549837,0
LTR1282_2015,LTR1282_2015_19.10.2015,LTR1282,19,10,2015,19.10.2015,292,Lithuania,autumn,55.6678,23.0358,No,3,0.98,Very good,35,0.883029025,2.570982575,0.723131049,0.073456645,1628,8.588981484,0.613636364,0.409090909,0.204545455,24.50577518,17,825,0,0,7,205,3,34,31,1540,1,54,0.132819898,0.46854499,0.180208814,0.33738427,0
LTR1282_2016,LTR1282_2016_28.11.2016,LTR1282,28,11,2016,28.11.2016,333,Lithuania,autumn,55.6678,23.0358,No,3,0.95,Very good,37,0.95951051,3.354142998,0.928889296,0.090652513,775,25.47782875,0.530612245,0.285714286,0.244897959,34.23593819,19,433,0,0,6,136,3,62,32,653,2,60,0.173061529,0.515012917,0.206285914,0.391757788,0
LTR1282_2017,LTR1282_2017_2.10.2017,LTR1282,2,10,2017,2.10.2017,275,Lithuania,autumn,55.6678,23.0358,No,3,0.8,Very good,33,0.729302453,2.038266797,0.582943626,0.061765661,3333,3.697149226,0.75,0.339285714,0.410714286,22.96040497,12,873,0,0,7,116,4,50,26,1594,3,1689,0.125662404,0.58248577,0.206794491,0.290685248,0.016129032
LTR1282_2020,LTR1282_2020_20.10.2020,LTR1282,20,10,2020,20.10.2020,294,Lithuania,autumn,55.6678,23.0358,No,3,0.44,Moderate,14,0.828828533,2.06166814,0.781213851,0.14726201,247,5.959395842,0.931818182,0.25,0.681818182,14,1,8,2,41,3,72,1,5,9,118,2,83,0.014244947,0.507583365,0.256880141,0.343826214,0.032258065
LTR13_2010,LTR13_2010_11.10.2010,LTR13,11,10,2010,11.10.2010,284,Lithuania,autumn,55.2726,21.4106,Yes,4,0.46,Moderate,11,0.772816635,1.737562215,0.724619726,0.157960201,230,4.468103156,NA,NA,NA,6.899503605,1,14,1,1,1,87,6,84,3,102,1,43,0.00434612,0.515825527,0.210595045,0.359029857,NA
LTR13_2011,LTR13_2011_12.9.2011,LTR13,12,9,2011,12.9.2011,255,Lithuania,autumn,55.2726,21.4106,Yes,4,0.46,Moderate,19,0.888451249,2.477151705,0.841298367,0.130376406,232,9.284823285,0.695652174,0.52173913,0.173913043,11.98141769,1,2,3,38,2,57,9,97,5,61,2,36,0.019109468,0.455225189,0.263093083,0.356925868,0.06779661
LTR13_2012,LTR13_2012_8.10.2012,LTR13,8,10,2012,8.10.2012,282,Lithuania,autumn,55.2726,21.4106,Yes,4,0.42,Moderate,6,0.46484375,1.022461135,0.570646425,0.170410189,32,1.92248062,0.80952381,0.095238095,0.714285714,6,0,0,1,23,0,0,4,8,0,0,0,0,0,0.565970768,0.14342507,0.334734016,0.327586207
LTR13_2013,LTR13_2013_30.9.2013,LTR13,30,9,2013,30.9.2013,273,Lithuania,autumn,55.2726,21.4106,Yes,4,0.34,Moderate,13,0.855371901,2.101233221,0.819210412,0.161633325,198,7.128289474,0.8125,0.625,0.1875,8.716539946,0,0,2,79,3,59,5,40,5,61,1,18,0.013643049,0.433746248,0.216981343,0.357247469,0.360655738
LTR13_2014,LTR13_2014_13.10.2014,LTR13,13,10,2014,13.10.2014,286,Lithuania,autumn,55.2726,21.4106,Yes,4,0.29,Poor,17,0.876352156,2.331207117,0.822813828,0.13712983,278,8.299849105,0.695652174,0.434782609,0.260869565,10.60865808,0,0,3,41,4,67,6,98,5,68,2,70,0.011096278,0.374572167,0.269466919,0.35080332,0.081967213
LTR13_2015,LTR13_2015_12.10.2015,LTR13,12,10,2015,12.10.2015,285,Lithuania,autumn,55.2726,21.4106,Yes,4,0.399,Moderate,13,0.69292862,1.437746565,0.560536044,0.11059589,1306,3.262212745,0.846153846,0.346153846,0.5,5.372074908,1,14,4,1196,3,45,2,13,5,67,2,30,0.0018165,0.404998996,0.134579063,0.537603358,0.15
LTR13_2016,LTR13_2016_12.9.2016,LTR13,12,9,2016,12.9.2016,256,Lithuania,autumn,55.2726,21.4106,Yes,4,0.48,Moderate,22,0.675917891,1.64783814,0.533101103,0.074901734,1054,3.09176152,0.793103448,0.551724138,0.24137931,7.439084737,2,3,2,295,2,553,8,126,8,569,4,64,0.064940906,0.431561279,0.18731518,0.433746217,0.129032258
LTR13_2017,LTR13_2017_4.10.2017,LTR13,4,10,2017,4.10.2017,277,Lithuania,autumn,55.2726,21.4106,Yes,4,0.4,Moderate,20,0.665091378,1.561357199,0.521193837,0.07806786,896,2.992529126,0.551724138,0.24137931,0.310344828,6.982859341,2,6,3,713,1,12,9,121,5,30,3,32,0.054593681,0.595856231,0.118646245,0.398354256,0.032258065
LTR13_2020,LTR13_2020_14.9.2020,LTR13,14,9,2020,14.9.2020,258,Lithuania,autumn,55.2726,21.4106,Yes,4,0.5,Good,37,0.812187378,2.071927213,0.573795158,0.055998033,7593,5.327490345,0.642857143,0.523809524,0.119047619,8.907285488,5,23,4,3460,2,2210,12,1174,15,2288,6,671,0.192910871,0.398662743,0.206867356,0.383333827,0.016129032
LTR1301_2010,LTR1301_2010_4.10.2010,LTR1301,4,10,2010,4.10.2010,277,Lithuania,autumn,54.0906,24.2934,No,1,0.87,Very Good,32,0.561340223,1.601465414,0.462085242,0.050045794,848,2.283120466,NA,NA,NA,19.35865661,13,710,1,4,8,70,0,0,27,821,4,23,0.095267457,0.526293038,0.115842753,0.421414993,NA
LTR1301_2012,LTR1301_2012_10.10.2012,LTR1301,10,10,2012,10.10.2012,284,Lithuania,autumn,54.0906,24.2934,No,1,0.72,Good,28,0.891250785,2.828240117,0.848759465,0.101008576,1945,9.234398812,0.8,0.36,0.44,26.44846613,16,1321,0,0,4,281,2,72,23,1727,3,146,0.044538675,0.662138038,0.224356675,0.451926232,0.032258065
LTR1301_2013,LTR1301_2013_7.10.2013,LTR1301,7,10,2013,7.10.2013,280,Lithuania,autumn,54.0906,24.2934,No,1,0.86,Very Good,34,0.955754173,3.303741635,0.936870071,0.097168872,1689,22.89397103,0.652173913,0.391304348,0.260869565,32.30064021,15,937,0,0,6,287,3,105,29,1483,2,101,0.126951879,0.619897857,0.240028013,0.387236937,0.032258065
LTR1301_2014,LTR1301_2014_6.10.2014,LTR1301,6,10,2014,6.10.2014,279,Lithuania,autumn,54.0906,24.2934,No,1,0.76,Good,24,0.944598721,2.992776083,0.941700878,0.124699003,531,18.6500994,0.711111111,0.244444444,0.466666667,23.0108556,11,255,0,0,5,162,3,27,18,457,3,47,0.063723347,0.624107485,0.228629064,0.356630579,0.032258065
LTR1301_2015,LTR1301_2015_12.10.2015,LTR1301,12,10,2015,12.10.2015,285,Lithuania,autumn,54.0906,24.2934,No,1,0.95,Very good,37,0.953550888,3.292485435,0.91181398,0.088986093,795,22.10034311,0.673913043,0.47826087,0.195652174,33.43970532,19,412,0,0,7,142,4,148,29,612,4,35,0.085961893,0.579509568,0.232761981,0.355749639,0.032258065
LTR1301_2016,LTR1301_2016_17.10.2016,LTR1301,17,10,2016,17.10.2016,291,Lithuania,autumn,54.0906,24.2934,No,1,0.78,Good,22,0.883421031,2.517162098,0.814340837,0.114416459,1252,8.63015329,0.795918367,0.244897959,0.551020408,20.14197112,9,872,0,0,5,189,2,26,18,1134,2,92,0.067523928,0.520357329,0.210446248,0.378405977,0.032258065
LTR1301_2017,LTR1301_2017_16.10.2017,LTR1301,16,10,2017,16.10.2017,289,Lithuania,autumn,54.0906,24.2934,No,1,0.94,Very good,38,0.949431295,3.253448117,0.894397541,0.085617056,780,20.26345628,0.695652174,0.52173913,0.173913043,33.57454593,15,492,0,0,8,123,3,53,31,683,4,44,0.167515001,0.555629198,0.222484128,0.390821496,0.032258065
LTR1301_2020,LTR1301_2020_13.10.2020,LTR1301,13,10,2020,13.10.2020,287,Lithuania,autumn,54.0906,24.2934,No,1,0.59,Moderate,18,0.903580247,2.546486266,0.881023785,0.141471459,180,10.94429348,0.727272727,0.136363636,0.590909091,18,6,48,0,0,3,32,2,27,15,118,1,35,0.034185011,0.656365182,0.231810744,0.311563685,0
LTR1319_2010,LTR1319_2010_28.9.2010,LTR1319,28,9,2010,28.9.2010,271,Lithuania,autumn,55.6208,25.4354,No,4,0.57,Moderate,12,0.879409722,2.192086089,0.882160338,0.182673841,240,8.553534149,NA,NA,NA,10.9249919,3,93,0,0,1,1,4,115,8,125,0,0,0.011225572,0.604343906,0.195031822,0.395185105,NA
LTR1319_2012,LTR1319_2012_24.9.2012,LTR1319,24,9,2012,24.9.2012,268,Lithuania,autumn,55.6208,25.4354,No,4,0.91,Very Good,26,0.908666588,2.770240793,0.85026357,0.106547723,159,11.68465116,0.8125,0.625,0.1875,25.80807525,10,67,0,0,4,14,2,3,20,150,4,6,0.052061312,0.613340921,0.198016399,0.324703582,0.087719298
LTR1319_2013,LTR1319_2013_18.9.2013,LTR1319,18,9,2013,18.9.2013,261,Lithuania,autumn,55.6208,25.4354,No,4,0.9,Very Good,29,0.948184088,3.096115744,0.91946651,0.106762612,1481,19.54069716,0.720930233,0.395348837,0.325581395,25.45579136,10,604,0,0,5,303,7,335,21,1110,1,36,0.092477969,0.684285709,0.180007625,0.370173164,0.081967213
LTR1319_2014,LTR1319_2014_15.9.2014,LTR1319,15,9,2014,15.9.2014,258,Lithuania,autumn,55.6208,25.4354,No,4,0.7,Good,28,0.944510886,3.0595362,0.918171796,0.10926915,966,18.3451411,0.642857143,0.30952381,0.333333333,25.45267188,8,270,0,0,4,138,8,357,19,535,1,74,0.114616279,0.665064448,0.210136172,0.349130174,0.016393443
LTR1319_2015,LTR1319_2015_23.9.2015,LTR1319,23,9,2015,23.9.2015,266,Lithuania,autumn,55.6208,25.4354,No,4,0.88,Very good,33,0.947030196,3.159678233,0.903666924,0.095747825,887,19.26748063,0.613636364,0.363636364,0.25,28.95864178,13,454,0,0,4,46,7,261,24,592,2,34,0.105516393,0.517660686,0.187311964,0.39146392,0.016393443
LTR1319_2016,LTR1319_2016_27.9.2016,LTR1319,27,9,2016,27.9.2016,271,Lithuania,autumn,55.6208,25.4354,No,4,0.69,Good,33,0.95238158,3.221260801,0.921279518,0.097613964,551,21.79275133,0.653061224,0.326530612,0.326530612,29.94033804,12,234,0,0,4,47,8,184,24,366,1,1,0.13384138,0.684521508,0.217504102,0.406234666,0.098360656
LTR1319_2017,LTR1319_2017_26.10.2017,LTR1319,26,10,2017,26.10.2017,299,Lithuania,autumn,55.6208,25.4354,No,4,0.77,Good,26,0.616791187,1.611792873,0.494703842,0.061992034,1190,2.613080639,0.744680851,0.29787234,0.446808511,15.64571303,10,1044,0,0,4,34,3,18,22,1171,1,1,0.070559153,0.575926036,0.11879258,0.492458384,0.01754386
LTR1319_2020,LTR1319_2020_21.9.2020,LTR1319,21,9,2020,21.9.2020,265,Lithuania,autumn,55.6208,25.4354,No,4,0.74,Good,23,0.89365829,2.604620757,0.830689064,0.113244381,154,9.950168919,0.710526316,0.315789474,0.394736842,23,5,42,0,0,5,16,4,21,18,131,1,2,0.080865628,0.567357611,0.233069503,0.312062424,0.081967213
LTR133_2010,LTR133_2010_5.10.2010,LTR133,5,10,2010,5.10.2010,278,Lithuania,autumn,55.0933,24.5299,No,5,0.56,Moderate,12,0.865681268,2.192110802,0.882170283,0.1826759,305,7.606234619,NA,NA,NA,10.96341862,5,125,0,0,1,1,2,75,9,155,1,75,0.010563108,0.630939159,0.20875816,0.332606887,NA
LTR133_2012,LTR133_2012_2.10.2012,LTR133,2,10,2012,2.10.2012,276,Lithuania,autumn,55.0933,24.5299,No,5,0.49,Moderate,14,0.886855361,2.345830762,0.888889656,0.16755934,1216,8.895632383,0.761904762,0.428571429,0.333333333,12.32006124,5,407,0,0,0,0,4,656,7,472,3,88,0.008852145,0.528517004,0.201122361,0.385733234,0.066666667
LTR133_2013,LTR133_2013_8.10.2013,LTR133,8,10,2013,8.10.2013,281,Lithuania,autumn,55.0933,24.5299,No,5,0.6,Good,24,0.923010113,2.775803984,0.873428876,0.115658499,410,13.38094478,0.8125,0.5625,0.25,18.46472708,5,133,0,0,4,92,4,81,14,254,6,75,0.038473558,0.636411642,0.232500627,0.334965046,0.066666667
LTR133_2014,LTR133_2014_7.10.2014,LTR133,7,10,2014,7.10.2014,280,Lithuania,autumn,55.0933,24.5299,No,5,0.69,Good,35,0.952953124,3.257464732,0.916215424,0.093070421,1066,21.6674937,0.717391304,0.47826087,0.239130435,25.66093991,12,299,0,0,2,40,10,527,22,456,3,83,0.192618941,0.605320374,0.225453968,0.370434713,0.032786885
LTR133_2015,LTR133_2015_6.10.2015,LTR133,6,10,2015,6.10.2015,279,Lithuania,autumn,55.0933,24.5299,No,5,0.91,Very good,45,0.933756353,3.177482308,0.834716058,0.070610718,1546,15.23478161,0.68852459,0.426229508,0.262295082,25.85430933,25,1076,0,0,4,110,3,94,37,1417,5,35,0.154013411,0.532381205,0.2162468,0.423251241,0.016129032
LTR133_2016,LTR133_2016_4.10.2016,LTR133,4,10,2016,4.10.2016,278,Lithuania,autumn,55.0933,24.5299,No,5,0.52,Moderate,9,0.797839506,1.849770416,0.841866796,0.205530046,72,5.237704918,0.875,0.0625,0.8125,9,1,5,0,0,0,0,2,29,5,34,2,9,0.002096657,0.690624159,0.210267662,0.31415852,0.177419355
