"site_code","SppRich","Simp","Shan","EvenJ","E10","Abund","S_PIE","Turnover","Turnover_app","Turnover_disapp","rare.sppRich","ept_spp_richness","ept_abundance","insect_spp_richness","insect_abundance","crustacea_spp_richness","crustacea_abundance","mollusc_spp_richness","mollusc_abundance","annelid_spp_richness","annelid_abundance"
"LTR127_2012",7,0.751111111111111,1.569939938247,0.806789531885202,0.224277134035286,30,4.48453608247423,"0.941176470588235","0.352941176470588","0.588235294117647",7,NA,NA,1,10,1,6,5,14,NA,NA
"LTR127_2013",12,0.616981823979592,1.24386322458378,0.500567385374376,0.103655268715315,1120,2.61460597741051,"0.882352941176471","0.588235294117647","0.294117647058824",4.96390598052471,NA,NA,4,54,5,462,2,591,1,13
"LTR127_2014",17,0.715638357350262,1.75375140618478,0.618997298549354,0.103161847422634,623,3.5309350682485,"0.884615384615385","0.538461538461538","0.346153846153846",7.88413590116991,NA,NA,4,65,3,14,7,229,3,315
"LTR127_2015",10,0.740603280754889,1.63023870375732,0.708003673226915,0.163023870375732,239,3.90190698312526,"0.826086956521739","0.260869565217391","0.565217391304348",6.34667370540108,NA,NA,3,74,3,58,2,2,2,105
"LTR127_2016",17,0.873903850251602,2.41092886291362,0.850952106367666,0.141819344877272,247,8.16035455278002,"0.714285714285714","0.523809523809524","0.19047619047619",11.504299427821,1,7,4,81,6,79,4,41,2,39
"LTR127_2017",13,0.798369640415657,1.9541341156252,0.761860701046804,0.150318008894246,653,4.98987389245699,"0.636363636363636","0.227272727272727","0.409090909090909",8.42967472794956,1,22,2,263,2,182,6,165,2,21
"LTR127_2020",27,0.734050661212248,1.60567393429245,0.487182466721745,0.0594694049737945,6159,3.76180073103296,"0.823529411764706","0.617647058823529","0.205882352941176",6.0391949162531,4,1113,9,2577,7,2372,4,33,2,63
"LTR1282_2010",24,0.908687158862396,2.75058358893121,0.865493077135848,0.1146076495388,590,11.1395691755353,"NA","NA","NA",22.7619205763699,16,233,3,120,1,19,3,92,1,126
"LTR1282_2012",32,0.914495246589791,2.78792581455908,0.804425349406141,0.0871226817049711,651,11.890912156466,"0.782608695652174","0.478260869565217","0.304347826086957",26.1240091009076,18,328,10,234,1,1,2,11,1,77
"LTR1282_2013",39,0.924426291989968,2.8957953989537,0.790431737927202,0.0742511640757359,461,13.5935897435898,"0.456521739130435","0.304347826086957","0.152173913043478",32.0787741988223,17,215,18,214,1,1,2,7,1,24
