"","FRic.SES","FRic.SES.sig"
"LTR268_2013_26.9.2013",-0.756324286965098,0
"LTR268_2014_13.10.2014",0.244754835713489,0
"LTR268_2015_12.10.2015",-1.26896702778162,0
"LTR268_2016_12.9.2016",-0.870080867657984,0
"LTR268_2017_4.10.2017",0.50998323955303,0
"LTR268_2020_14.9.2020",-1.27175764594195,0
"LTR325_2010_27.9.2010",-0.790532148837955,0
"LTR325_2012_26.9.2012",-1.49068767197801,0
"LTR325_2013_16.9.2013",-2.21936415836653,1
"LTR325_2014_23.9.2014",0.864324748294103,0
"LTR325_2015_21.9.2015",-1.34961737197322,0
"LTR325_2016_26.9.2016",-0.534953072608533,0
"LTR325_2017_25.10.2017",1.51302743399359,0
"LTR325_2020_22.9.2020",0.482067327303437,0
"LTR327_2010_27.9.2010",-1.02304652805523,0
"LTR327_2012_24.9.2012",-1.8091825310549,1
"LTR327_2013_18.9.2013",-1.39998564417643,0
"LTR327_2014_15.9.2014",-0.822453416242661,0
"LTR327_2015_22.9.2015",0.480602647708073,0
"LTR327_2016_27.9.2016",-1.92292486720055,1
"LTR327_2017_26.10.2017",-1.34157581849563,1
"LTR327_2020_21.9.2020",-0.0491332636002429,0
"LTR33_2010_6.10.2010",-0.738300746616101,0
"LTR33_2012_3.10.2012",-0.907141636146714,0
"LTR33_2013_9.10.2013",-1.17842083476593,0
"LTR33_2014_8.10.2014",-0.242330539950534,0
"LTR33_2015_7.10.2015",-0.95219088776871,0
"LTR33_2016_5.10.2016",0.282730523170395,0
"LTR33_2017_4.10.2017",-2.45219448516738,1
"LTR33_2020_7.10.2020",0.777010712194719,0
"LTR387_2010_27.9.2010",-0.697232003803231,0
"LTR387_2012_24.9.2012",-1.52351159777652,0
"LTR387_2013_23.9.2013",-1.53171415741711,0
"LTR387_2014_24.9.2014",-1.87153260357859,1
"LTR387_2015_28.9.2015",1.70017871662873,0
"LTR387_2016_26.9.2016",1.54579957464545,0
"LTR387_2017_16.10.2017",-0.529136855238372,0
"LTR387_2020_22.9.2020",-0.369447555328997,0
"LTR40_2010_4.10.2010",-0.726334707320117,1
"LTR40_2012_1.10.2012",0.864850031401978,0
"LTR40_2013_7.10.2013",-1.30871642391006,0
"LTR40_2014_6.10.2014",-0.522963270820382,0
"LTR40_2015_5.10.2015",1.97621897401432,1
"LTR40_2016_3.10.2016",-1.82802317668952,1
"LTR40_2017_2.10.2017",1.97982546185935,1
"LTR40_2020_5.10.2020",-1.630615519732,1
"LTR401_2010_7.9.2010",-0.973179657684313,0
"LTR401_2012_25.9.2012",-1.23527335691371,0
"LTR401_2013_10.10.2013",-1.64358333081698,1
"LTR401_2014_2.10.2014",-0.700124393821601,0
"LTR401_2015_5.10.2015",0.396480700903914,0
"LTR401_2016_11.10.2016",-1.61651129661437,1
"LTR401_2017_11.10.2017",-2.25796678598453,1
