site_code,sample_id,site_id,day,month,year,Date,day_of_year,country,season,Latitude,Longitude,Heavily_modified,river_type,EQR,EQC
LTR1301_2017,LTR1301_2017_16.10.2017,LTR1301,16,10,2017,16.10.2017,289,Lithuania,autumn,54.0906,24.2934,No,1,0.94,Very good
LTR1301_2020,LTR1301_2020_13.10.2020,LTR1301,13,10,2020,13.10.2020,287,Lithuania,autumn,54.0906,24.2934,No,1,0.59,Moderate
LTR1319_2010,LTR1319_2010_28.9.2010,LTR1319,28,9,2010,28.9.2010,271,Lithuania,autumn,55.6208,25.4354,No,4,0.57,Moderate
LTR1319_2012,LTR1319_2012_24.9.2012,LTR1319,24,9,2012,24.9.2012,268,Lithuania,autumn,55.6208,25.4354,No,4,0.91,Very Good
LTR1319_2013,LTR1319_2013_18.9.2013,LTR1319,18,9,2013,18.9.2013,261,Lithuania,autumn,55.6208,25.4354,No,4,0.9,Very Good
LTR1319_2014,LTR1319_2014_15.9.2014,LTR1319,15,9,2014,15.9.2014,258,Lithuania,autumn,55.6208,25.4354,No,4,0.7,Good
LTR1319_2015,LTR1319_2015_23.9.2015,LTR1319,23,9,2015,23.9.2015,266,Lithuania,autumn,55.6208,25.4354,No,4,0.88,Very good
LTR1319_2016,LTR1319_2016_27.9.2016,LTR1319,27,9,2016,27.9.2016,271,Lithuania,autumn,55.6208,25.4354,No,4,0.69,Good
LTR1319_2017,LTR1319_2017_26.10.2017,LTR1319,26,10,2017,26.10.2017,299,Lithuania,autumn,55.6208,25.4354,No,4,0.77,Good
LTR1319_2020,LTR1319_2020_21.9.2020,LTR1319,21,9,2020,21.9.2020,265,Lithuania,autumn,55.6208,25.4354,No,4,0.74,Good
LTR133_2010,LTR133_2010_5.10.2010,LTR133,5,10,2010,5.10.2010,278,Lithuania,autumn,55.0933,24.5299,No,5,0.56,Moderate
LTR133_2012,LTR133_2012_2.10.2012,LTR133,2,10,2012,2.10.2012,276,Lithuania,autumn,55.0933,24.5299,No,5,0.49,Moderate
LTR133_2013,LTR133_2013_8.10.2013,LTR133,8,10,2013,8.10.2013,281,Lithuania,autumn,55.0933,24.5299,No,5,0.6,Good
LTR133_2014,LTR133_2014_7.10.2014,LTR133,7,10,2014,7.10.2014,280,Lithuania,autumn,55.0933,24.5299,No,5,0.69,Good
LTR133_2015,LTR133_2015_6.10.2015,LTR133,6,10,2015,6.10.2015,279,Lithuania,autumn,55.0933,24.5299,No,5,0.91,Very good
LTR133_2016,LTR133_2016_4.10.2016,LTR133,4,10,2016,4.10.2016,278,Lithuania,autumn,55.0933,24.5299,No,5,0.52,Moderate
LTR133_2017,LTR133_2017_3.10.2017,LTR133,3,10,2017,3.10.2017,276,Lithuania,autumn,55.0933,24.5299,No,5,0.59,Moderate
LTR133_2020,LTR133_2020_6.10.2020,LTR133,6,10,2020,6.10.2020,280,Lithuania,autumn,55.0933,24.5299,No,5,0.54,Moderate
LTR1348_2010,LTR1348_2010_7.10.2010,LTR1348,7,10,2010,7.10.2010,280,Lithuania,autumn,55.1295,25.8405,No,2,0.91,Very Good
LTR1348_2012,LTR1348_2012_3.10.2012,LTR1348,3,10,2012,3.10.2012,277,Lithuania,autumn,55.1295,25.8405,No,2,0.76,Good
LTR1348_2013,LTR1348_2013_10.10.2013,LTR1348,10,10,2013,10.10.2013,283,Lithuania,autumn,55.1295,25.8405,No,2,0.76,Good
LTR1348_2014,LTR1348_2014_9.10.2014,LTR1348,9,10,2014,9.10.2014,282,Lithuania,autumn,55.1295,25.8405,No,2,0.79,Good
LTR1348_2015,LTR1348_2015_1.10.2015,LTR1348,1,10,2015,1.10.2015,274,Lithuania,autumn,55.1295,25.8405,No,2,0.92,Very good
LTR1348_2016,LTR1348_2016_11.10.2016,LTR1348,11,10,2016,11.10.2016,285,Lithuania,autumn,55.1295,25.8405,No,2,0.57,Moderate
LTR1348_2017,LTR1348_2017_3.10.2017,LTR1348,3,10,2017,3.10.2017,276,Lithuania,autumn,55.1295,25.8405,No,2,0.76,Good
LTR1348_2020,LTR1348_2020_7.10.2020,LTR1348,7,10,2020,7.10.2020,281,Lithuania,autumn,55.1295,25.8405,No,2,0.67,Good
LTR137_2010,LTR137_2010_27.9.2010,LTR137,27,9,2010,27.9.2010,270,Lithuania,autumn,54.962,22.7276,No,4,0.63,Good
LTR137_2012,LTR137_2012_25.9.2012,LTR137,25,9,2012,25.9.2012,269,Lithuania,autumn,54.962,22.7276,No,4,0.6,Good
LTR137_2013,LTR137_2013_10.10.2013,LTR137,10,10,2013,10.10.2013,283,Lithuania,autumn,54.962,22.7276,No,4,0.78,Good
LTR137_2014,LTR137_2014_30.9.2014,LTR137,30,9,2014,30.9.2014,273,Lithuania,autumn,54.962,22.7276,No,4,0.59,Moderate
LTR137_2015,LTR137_2015_5.10.2015,LTR137,5,10,2015,5.10.2015,278,Lithuania,autumn,54.962,22.7276,No,4,0.63,Good
LTR137_2016,LTR137_2016_10.10.2016,LTR137,10,10,2016,10.10.2016,284,Lithuania,autumn,54.962,22.7276,No,4,0.86,Very good
LTR137_2017,LTR137_2017_2.10.2017,LTR137,2,10,2017,2.10.2017,275,Lithuania,autumn,54.962,22.7276,No,4,0.71,Good
LTR137_2020,LTR137_2020_8.10.2020,LTR137,8,10,2020,8.10.2020,282,Lithuania,autumn,54.962,22.7276,No,4,0.59,Moderate
LTR1438_2010,LTR1438_2010_7.10.2010,LTR1438,7,10,2010,7.10.2010,280,Lithuania,autumn,55.0526,25.8742,No,1,0.85,Very Good
LTR1438_2012,LTR1438_2012_3.10.2012,LTR1438,3,10,2012,3.10.2012,277,Lithuania,autumn,55.0526,25.8742,No,1,0.78,Good
LTR1438_2013,LTR1438_2013_10.10.2013,LTR1438,10,10,2013,10.10.2013,283,Lithuania,autumn,55.0526,25.8742,No,1,0.83,Very Good
LTR1438_2014,LTR1438_2014_9.10.2014,LTR1438,9,10,2014,9.10.2014,282,Lithuania,autumn,55.0526,25.8742,No,1,0.95,Very good
LTR1438_2015,LTR1438_2015_1.10.2015,LTR1438,1,10,2015,1.10.2015,274,Lithuania,autumn,55.0526,25.8742,No,1,0.99,Very good
LTR1438_2016,LTR1438_2016_11.10.2016,LTR1438,11,10,2016,11.10.2016,285,Lithuania,autumn,55.0526,25.8742,No,1,0.92,Very good
LTR1438_2017,LTR1438_2017_3.10.2017,LTR1438,3,10,2017,3.10.2017,276,Lithuania,autumn,55.0526,25.8742,No,1,0.78,Good
LTR1438_2020,LTR1438_2020_7.10.2020,LTR1438,7,10,2020,7.10.2020,281,Lithuania,autumn,55.0526,25.8742,No,1,0.91,Very good
LTR1462_2010,LTR1462_2010_11.10.2010,LTR1462,11,10,2010,11.10.2010,284,Lithuania,autumn,55.5031,22.0195,No,2,0.63,Good
LTR1462_2011,LTR1462_2011_12.9.2011,LTR1462,12,9,2011,12.9.2011,255,Lithuania,autumn,55.5031,22.0195,No,2,0.36,Poor
LTR1462_2012,LTR1462_2012_18.10.2012,LTR1462,18,10,2012,18.10.2012,292,Lithuania,autumn,55.5031,22.0195,No,2,0.52,Moderate
LTR1462_2013,LTR1462_2013_25.9.2013,LTR1462,25,9,2013,25.9.2013,268,Lithuania,autumn,55.5031,22.0195,No,2,0.76,Good
LTR1462_2014,LTR1462_2014_13.10.2014,LTR1462,13,10,2014,13.10.2014,286,Lithuania,autumn,55.5031,22.0195,No,2,0.74,Good
LTR1462_2015,LTR1462_2015_12.10.2015,LTR1462,12,10,2015,12.10.2015,285,Lithuania,autumn,55.5031,22.0195,No,2,0.77,Good
LTR1462_2016,LTR1462_2016_12.9.2016,LTR1462,12,9,2016,12.9.2016,256,Lithuania,autumn,55.5031,22.0195,No,2,0.56,Moderate
LTR1462_2017,LTR1462_2017_4.10.2017,LTR1462,4,10,2017,4.10.2017,277,Lithuania,autumn,55.5031,22.0195,No,2,0.57,Moderate
LTR1462_2020,LTR1462_2020_14.9.2020,LTR1462,14,9,2020,14.9.2020,258,Lithuania,autumn,55.5031,22.0195,No,2,0.62,Good
LTR161_2010,LTR161_2010_5.10.2010,LTR161,5,10,2010,5.10.2010,278,Lithuania,autumn,54.37,24.8748,No,2,0.77,Good
LTR161_2012,LTR161_2012_4.10.2012,LTR161,4,10,2012,4.10.2012,278,Lithuania,autumn,54.37,24.8748,No,2,0.62,Good
LTR161_2013,LTR161_2013_8.10.2013,LTR161,8,10,2013,8.10.2013,281,Lithuania,autumn,54.37,24.8748,No,2,0.81,Very Good
LTR161_2014,LTR161_2014_13.10.2014,LTR161,13,10,2014,13.10.2014,286,Lithuania,autumn,54.37,24.8748,No,2,0.61,Good
LTR161_2015,LTR161_2015_1.10.2015,LTR161,1,10,2015,1.10.2015,274,Lithuania,autumn,54.37,24.8748,No,2,0.84,Very good
LTR161_2016,LTR161_2016_18.10.2016,LTR161,18,10,2016,18.10.2016,292,Lithuania,autumn,54.37,24.8748,No,2,0.71,Good
LTR161_2017,LTR161_2017_6.10.2017,LTR161,6,10,2017,6.10.2017,279,Lithuania,autumn,54.37,24.8748,No,2,0.94,Very good
LTR161_2020,LTR161_2020_15.10.2020,LTR161,15,10,2020,15.10.2020,289,Lithuania,autumn,54.37,24.8748,No,2,0.56,Moderate
LTR175_2010,LTR175_2010_7.10.2010,LTR175,7,10,2010,7.10.2010,280,Lithuania,autumn,55.0217,25.8575,No,3,0.92,Very Good
LTR175_2012,LTR175_2012_3.10.2012,LTR175,3,10,2012,3.10.2012,277,Lithuania,autumn,55.0217,25.8575,No,3,0.69,Good
LTR175_2013,LTR175_2013_10.10.2013,LTR175,10,10,2013,10.10.2013,283,Lithuania,autumn,55.0217,25.8575,No,3,0.67,Good
LTR175_2014,LTR175_2014_13.10.2014,LTR175,13,10,2014,13.10.2014,286,Lithuania,autumn,55.0217,25.8575,No,3,0.9,Very good
LTR175_2015,LTR175_2015_1.10.2015,LTR175,1,10,2015,1.10.2015,274,Lithuania,autumn,55.0217,25.8575,No,3,0.86,Very good
LTR175_2016,LTR175_2016_12.10.2016,LTR175,12,10,2016,12.10.2016,286,Lithuania,autumn,55.0217,25.8575,No,3,0.72,Good
LTR175_2017,LTR175_2017_3.10.2017,LTR175,3,10,2017,3.10.2017,276,Lithuania,autumn,55.0217,25.8575,No,3,0.75,Good
LTR175_2020,LTR175_2020_7.10.2020,LTR175,7,10,2020,7.10.2020,281,Lithuania,autumn,55.0217,25.8575,No,3,0.9,Very good
LTR192_2010,LTR192_2010_5.10.2010,LTR192,5,10,2010,5.10.2010,278,Lithuania,autumn,55.1921,24.689,No,3,0.96,Very Good
LTR192_2012,LTR192_2012_8.10.2012,LTR192,8,10,2012,8.10.2012,282,Lithuania,autumn,55.1921,24.689,No,3,0.89,Very Good
LTR192_2013,LTR192_2013_14.10.2013,LTR192,14,10,2013,14.10.2013,287,Lithuania,autumn,55.1921,24.689,No,3,0.86,Very Good
LTR192_2014,LTR192_2014_1.10.2014,LTR192,1,10,2014,1.10.2014,274,Lithuania,autumn,55.1921,24.689,No,3,0.92,Very good
LTR192_2015,LTR192_2015_7.10.2015,LTR192,7,10,2015,7.10.2015,280,Lithuania,autumn,55.1921,24.689,No,3,0.99,Very good
LTR192_2016,LTR192_2016_10.10.2016,LTR192,10,10,2016,10.10.2016,284,Lithuania,autumn,55.1921,24.689,No,3,0.85,Very good
LTR192_2017,LTR192_2017_4.10.2017,LTR192,4,10,2017,4.10.2017,277,Lithuania,autumn,55.1921,24.689,No,3,0.69,Good
LTR192_2020,LTR192_2020_1.10.2020,LTR192,1,10,2020,1.10.2020,275,Lithuania,autumn,55.1921,24.689,No,3,0.49,Moderate
LTR231_2010,LTR231_2010_6.10.2010,LTR231,6,10,2010,6.10.2010,279,Lithuania,autumn,55.3031,23.0187,No,1,0.59,Moderate
LTR231_2012,LTR231_2012_3.10.2012,LTR231,3,10,2012,3.10.2012,277,Lithuania,autumn,55.3031,23.0187,No,1,0.61,Good
LTR231_2013,LTR231_2013_9.10.2013,LTR231,9,10,2013,9.10.2013,282,Lithuania,autumn,55.3031,23.0187,No,1,0.77,Good
LTR231_2014,LTR231_2014_9.10.2014,LTR231,9,10,2014,9.10.2014,282,Lithuania,autumn,55.3031,23.0187,No,1,0.76,Good
LTR231_2015,LTR231_2015_7.10.2015,LTR231,7,10,2015,7.10.2015,280,Lithuania,autumn,55.3031,23.0187,No,1,0.41,Moderate
LTR231_2016,LTR231_2016_5.10.2016,LTR231,5,10,2016,5.10.2016,279,Lithuania,autumn,55.3031,23.0187,No,1,0.68,Good
LTR231_2017,LTR231_2017_4.10.2017,LTR231,4,10,2017,4.10.2017,277,Lithuania,autumn,55.3031,23.0187,No,1,0.56,Moderate
LTR231_2020,LTR231_2020_7.10.2020,LTR231,7,10,2020,7.10.2020,281,Lithuania,autumn,55.3031,23.0187,No,1,0.64,Good
LTR245_2010,LTR245_2010_4.10.2010,LTR245,4,10,2010,4.10.2010,277,Lithuania,autumn,55.351,23.906,No,3,0.47,Moderate
LTR245_2012,LTR245_2012_1.10.2012,LTR245,1,10,2012,1.10.2012,275,Lithuania,autumn,55.351,23.906,No,3,0.47,Moderate
LTR245_2013,LTR245_2013_7.10.2013,LTR245,7,10,2013,7.10.2013,280,Lithuania,autumn,55.351,23.906,No,3,0.62,Good
LTR245_2014,LTR245_2014_6.10.2014,LTR245,6,10,2014,6.10.2014,279,Lithuania,autumn,55.351,23.906,No,3,0.7,Good
LTR245_2015,LTR245_2015_5.10.2015,LTR245,5,10,2015,5.10.2015,278,Lithuania,autumn,55.351,23.906,No,3,0.6,Good
LTR245_2016,LTR245_2016_3.10.2016,LTR245,3,10,2016,3.10.2016,277,Lithuania,autumn,55.351,23.906,No,3,0.54,Moderate
LTR245_2017,LTR245_2017_2.10.2017,LTR245,2,10,2017,2.10.2017,275,Lithuania,autumn,55.351,23.906,No,3,0.46,Moderate
LTR245_2020,LTR245_2020_5.10.2020,LTR245,5,10,2020,5.10.2020,279,Lithuania,autumn,55.351,23.906,No,3,0.46,Moderate
LTR26_2010,LTR26_2010_14.9.2010,LTR26,14,9,2010,14.9.2010,257,Lithuania,autumn,54.3569,23.0636,Yes,3,0.77,Very Good
LTR26_2012,LTR26_2012_25.9.2012,LTR26,25,9,2012,25.9.2012,269,Lithuania,autumn,54.3569,23.0636,Yes,3,0.65,Good
LTR26_2013,LTR26_2013_11.10.2013,LTR26,11,10,2013,11.10.2013,284,Lithuania,autumn,54.3569,23.0636,Yes,3,0.77,Very Good
LTR26_2014,LTR26_2014_1.10.2014,LTR26,1,10,2014,1.10.2014,274,Lithuania,autumn,54.3569,23.0636,Yes,3,0.73,Very good
LTR26_2015,LTR26_2015_5.10.2015,LTR26,5,10,2015,5.10.2015,278,Lithuania,autumn,54.3569,23.0636,Yes,3,0.79,Very good
LTR26_2016,LTR26_2016_4.10.2016,LTR26,4,10,2016,4.10.2016,278,Lithuania,autumn,54.3569,23.0636,Yes,3,1,Very good
LTR26_2017,LTR26_2017_9.10.2017,LTR26,9,10,2017,9.10.2017,282,Lithuania,autumn,54.3569,23.0636,Yes,3,0.68,Good
LTR26_2020,LTR26_2020_7.10.2020,LTR26,7,10,2020,7.10.2020,281,Lithuania,autumn,54.3569,23.0636,Yes,3,0.77,Very good
LTR268_2010,LTR268_2010_11.10.2010,LTR268,11,10,2010,11.10.2010,284,Lithuania,autumn,55.1628,21.9385,Yes,2,0.49,Moderate
LTR268_2011,LTR268_2011_28.9.2011,LTR268,28,9,2011,28.9.2011,271,Lithuania,autumn,55.1628,21.9385,Yes,2,0.47,Moderate
LTR268_2012,LTR268_2012_8.10.2012,LTR268,8,10,2012,8.10.2012,282,Lithuania,autumn,55.1628,21.9385,Yes,2,0.49,Moderate
LTR268_2013,LTR268_2013_26.9.2013,LTR268,26,9,2013,26.9.2013,269,Lithuania,autumn,55.1628,21.9385,Yes,2,0.49,Moderate
LTR268_2014,LTR268_2014_13.10.2014,LTR268,13,10,2014,13.10.2014,286,Lithuania,autumn,55.1628,21.9385,Yes,2,0.56,Moderate
LTR268_2015,LTR268_2015_12.10.2015,LTR268,12,10,2015,12.10.2015,285,Lithuania,autumn,55.1628,21.9385,Yes,2,0.63,Good
LTR268_2016,LTR268_2016_12.9.2016,LTR268,12,9,2016,12.9.2016,256,Lithuania,autumn,55.1628,21.9385,Yes,2,0.57,Good
LTR268_2017,LTR268_2017_4.10.2017,LTR268,4,10,2017,4.10.2017,277,Lithuania,autumn,55.1628,21.9385,Yes,2,0.55,Good
LTR268_2020,LTR268_2020_14.9.2020,LTR268,14,9,2020,14.9.2020,258,Lithuania,autumn,55.1628,21.9385,Yes,2,0.69,Good
LTR325_2010,LTR325_2010_27.9.2010,LTR325,27,9,2010,27.9.2010,270,Lithuania,autumn,55.355,26.4257,No,2,0.73,Good
LTR325_2012,LTR325_2012_26.9.2012,LTR325,26,9,2012,26.9.2012,270,Lithuania,autumn,55.355,26.4257,No,2,0.81,Very Good
LTR325_2013,LTR325_2013_16.9.2013,LTR325,16,9,2013,16.9.2013,259,Lithuania,autumn,55.355,26.4257,No,2,0.64,Good
LTR325_2014,LTR325_2014_23.9.2014,LTR325,23,9,2014,23.9.2014,266,Lithuania,autumn,55.355,26.4257,No,2,0.77,Good
LTR325_2015,LTR325_2015_21.9.2015,LTR325,21,9,2015,21.9.2015,264,Lithuania,autumn,55.355,26.4257,No,2,0.69,Good
LTR325_2016,LTR325_2016_26.9.2016,LTR325,26,9,2016,26.9.2016,270,Lithuania,autumn,55.355,26.4257,No,2,0.58,Moderate
LTR325_2017,LTR325_2017_25.10.2017,LTR325,25,10,2017,25.10.2017,298,Lithuania,autumn,55.355,26.4257,No,2,0.58,Moderate
LTR325_2020,LTR325_2020_22.9.2020,LTR325,22,9,2020,22.9.2020,266,Lithuania,autumn,55.355,26.4257,No,2,0.77,Good
LTR327_2010,LTR327_2010_27.9.2010,LTR327,27,9,2010,27.9.2010,270,Lithuania,autumn,55.5743,25.0506,No,4,0.66,Good
LTR327_2012,LTR327_2012_24.9.2012,LTR327,24,9,2012,24.9.2012,268,Lithuania,autumn,55.5743,25.0506,No,4,0.78,Good
LTR327_2013,LTR327_2013_18.9.2013,LTR327,18,9,2013,18.9.2013,261,Lithuania,autumn,55.5743,25.0506,No,4,0.67,Good
LTR327_2014,LTR327_2014_15.9.2014,LTR327,15,9,2014,15.9.2014,258,Lithuania,autumn,55.5743,25.0506,No,4,0.71,Good
LTR327_2015,LTR327_2015_22.9.2015,LTR327,22,9,2015,22.9.2015,265,Lithuania,autumn,55.5743,25.0506,No,4,0.66,Good
LTR327_2016,LTR327_2016_27.9.2016,LTR327,27,9,2016,27.9.2016,271,Lithuania,autumn,55.5743,25.0506,No,4,0.7,Good
LTR327_2017,LTR327_2017_26.10.2017,LTR327,26,10,2017,26.10.2017,299,Lithuania,autumn,55.5743,25.0506,No,4,0.81,Very good
LTR327_2020,LTR327_2020_21.9.2020,LTR327,21,9,2020,21.9.2020,265,Lithuania,autumn,55.5743,25.0506,No,4,0.69,Good
